paper_id,doc_id,title,doc
2112.06905,2112.06905_10,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"5. Experiment Setup
GLaM is a family of dense and sparse decoder-only lan- guage models, so we first elaborate our training settings, hyperparameters, and evaluation protocol in this section.

5.1. Training Setting
We train several variants of GLaM to study the behavior of MoE and dense models on the same training data. Table 4 shows the hyperparameter settings of different scale GLaM models ranging from 130 million parameters to 1.2 trillion parameters. Here, F is the number of experts in the MoE layer, B is the mini-batch size, S' is the input sequence length, M is the model and embedding dimension, H is
GLaM (Dense Size) e.g., GLaM (137B)
refers to a dense 137B parameter model trained with the same dataset."
2112.06905,2112.06905_11,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"5.2. Hyperparameters and Training Procedure
We use the same learning hyperparameters for all GLaM models. More specifically, We use a maximum sequence length of 1024 tokens, and pack each input example to have up to | million tokens per batch. The dropout rate is set to 0 since the number of available tokens in the training corpus is much greater than the number of processed tokens dur- ing training. Our optimizer is Adafactor (Shazeer & Stern, 2018) with first-moment decay 3; = 0, second-moment decay 82 = 0.99 with a 1 — t~°-® decay schedule, update clipping threshold of 1.0, and factored second-moment esti- mation. We keep the initial learning rate of 0.01 for the first 10K training steps, and then decay it with inverse square root schedule Ir(t) o 5. On top of the standard cross- entropy loss, we add the MoE auxiliary loss as described in GShard (Lepikhin et al., 2021) with a 0.01 coefficient to encourage expert load balancing so that the gating function will distribute tokens more evenly across all experts. We use the SentencePiece (Kudo & Richardson, 2018) subword to- kenizer with a vocabulary of size of 256K. During training, we use float32 for model weights and bfloat16 for activa- tions. The largest GLaM 64B/64E model was trained on 1,024 Cloud TPU-V4 chips.
‘Using more experts will cost more compute FLOPs per pre- diction, pushing the network to be ‘denser’. Setting the number of selected experts to be two is based on the trade-off between predictive performance and the training/serving efficiency of the model.
Training models at the trillion parameter scale is extremely expensive even for sparsely activated models. There is little room for hyperparameter tuning. Here we share our training recipes and some implementation tricks for the GLaM models.
¢ We train smaller-scale models to convergence first. This allows us to expose potential issues in the dataset and infrastructure as early as possible."
2112.06905,2112.06905_12,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"¢ We train smaller-scale models to convergence first. This allows us to expose potential issues in the dataset and infrastructure as early as possible.
guage understanding (NLU) tasks. These datasets can be further grouped into 7 categories and are listed in section A.
¢ We skip weight updates for a batch if there are any NaNs or Infs in the gradients (Shen et al., 2019). Note NaN/inf could still occur during the applying gradient step, in which case we restart from an earlier check- point as described below. For example, even if there is no Inf in the existing variable or the gradient, the updated variable could still lead to Inf.
Natural Language Generative tasks. We compare the language sequences decoded by the models to the ground truth in generative tasks. These tasks are TriviaQA, NQS, WebQS, SQuADv2, LAMBADA, DROP, QuAC and CoQA. The performance is measured by the accuracy of exact match (EM) and FI score, following the standard for each task in Brown et al. (2020). We use beam search with a width of 4 to generate the sequences.
¢ We restart from an early healthy checkpoint when en- countering rare large fluctuations or even NaN/Inf dur- ing training. Randomness of the sequentially loaded batches might help escape from previous failed states in the training after restart."
2112.06905,2112.06905_13,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"5.3. Evaluation Setting
Protocol. To clearly demonstrate the effectiveness of GLaM models, we mainly focus on evaluating the zero, one and few-shot learning protocols suggested by Radford et al. (2018); Brown et al. (2020). For the zero-shot learn- ing setting, in most cases, we evaluate each example in the development set directly. For one/few-shot learning, we mainly draw random one/few examples from that task’s training set as the only demonstration and context. Such a demonstration is concatenated with the evaluation example with two newlines in between, and then fed into the model.
Natural Language Understanding tasks. Most lan- guage understanding tasks require the model to select one correct answer from multiple options. All binary classifica- tion tasks are formulated into the form of selecting among two options (“Yes’ or ‘No’). The prediction is based on the maximum log-likelihood of each option given the context log P(option|context) normalized by the token length of each option. On a few tasks, such as ReCoRD (Zhang et al., 2018) and COPA (Gordon et al., 2012), the non-normalized loss can yield better results and thus is adopted. Except for MultiRC (Khashabi et al., 2018) where the F1 metric over the set of answer options (referred to as F1,,) is reported, the prediction accuracy metric is used for all the other tasks. We use the average of the scores reported in all datasets to report the overall few-shot performance of models on both NLG and NLU tasks. Both Accuracy (EM) and F1 scores have been normalized to lie between 0 and 100. On Trivi- aQA, we also report the testing server score of our one-shot submission."
2112.06905,2112.06905_14,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"Benchmarks. To allow for an apples-to-apples compari- son between GPT-3 and GLaM, we choose the same suite of evaluation tasks as Brown et al. (2020). But for sim- plicity, we exclude 7 synthetic tasks (arithmetic and word unscramble) and 6 machine translation datasets. With this exclusion, we end up with 29 datasets, which includes 8 natural language generative (NLG) tasks and 21 natural lan-"
2112.06905,2112.06905_15,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"6. Results
We conduct extensive evaluation on the whole family of GLaM models, to show the advantages of sparsely activated models in language modeling and their scaling trends. We
also quantitatively inspect the effectiveness of data quality for language model training.
Table 5. GLaM (64B/64E) one-shot performance significantly out- performs prior SOTAs for open domain settings in the wiki split."
2112.06905,2112.06905_16,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"6.1. Comparison between MoE and Dense Models
As previously presented in Table 1, GLaM (64B/64E) has competitive performance compared to GPT-3 (175B) for zero, one and few-shot learning. Figure 1 compares the performance for each category of tasks. In total, GLaM (64B/64E) outperforms GPT-3 in 6 out of 7 categories on average, indicating the performance gain is consistent. For more details on each individual task, see Table 11. We include results on the much larger and computationally de- manding Megatron-NLG and Gopher for reference. More importantly, as shown in Table 4, GLaM (64B/64E) acti- vates roughly 96.6B parameters per token during inference, which requires only half of the compute FLOPs needed by GPT-3 given the same input."
2112.06905,2112.06905_17,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"We highlight one particular challenging open-domain ques- tion answer task: TriviaQA. In open-domain question an- swer tasks, the model is required to directly answer a given query without access to any additional context. Brown et al. (2020) show that the few-shot performance of Trivi- aQA is able to grow smoothly with model size, indicating a language model is able to absorb knowledge using its model capacity. As shown in Table 5, GLaM (64B/64E) is better than the dense model and outperforms the previous finetuned state-of-the-art (SOTA) on this dataset in the open- domain setting. Our one-shot result exceeds the previous finetuned SOTA (Yu et al., 2022) where additional knowl- edge graph information is infused by 8.6%, and outperforms the few-shot GPT-3 on the testing server by 5.3%. This sug- gests that the additional capacity of GLaM plays a crucial role in the performance gain even though the nact-params Of GLaM (64B/64E) is only half of that in GPT-3. Comparing to Switch-C, even though both models have similar total number of parameters, GLaM (64B/64E) uses much larger experts (beyond one TPU core) than Switch-C. Therefore, GLaM’s one-shot performance on TriviaQA is also better than the fine-tuned results of Switch-C in the open-domain setting. Finally, we report zero, one and few-shot evaluation mainly on the development set for all tasks in Tables 11, 12, 13 and 14 of the appendix.
The filtered webpages consist of 143B tokens whereas the unfiltered webpages consist of around 7T tokens.
Figure 3 (c) and (d) show that the model trained on fil- tered data performs consistently better on both NLG and NLU tasks. In particular, the effect of filtering is bigger on NLG than that on NLU. Perhaps this is because NLG often requires generating high-quality language and filtered pretraining corpora is crucial to the generation capability of language models. Our study highlights the fact that the quality of the pretrained data also plays a critical role, specif- ically, in the performance of downstream tasks."
2112.06905,2112.06905_18,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"6.3. Scaling Studies
Scaling up dense language models generally involves mak- ing the models deeper by adding more layers, and wider by increasing the embedding dimension of token representa- tions. This process increases the total number of parameters Nparams Of the model. For each prediction on a given input example, these models are ‘dense’ in that all Mparams param- eters will be activated, i.e., Mparams = Nact-params In Table 4. Therefore, the effective FLOPs per prediction increases linearly with the model size Nparams. While the increased FLOPs may lead to boosted predictive performance, it also raises the overall cost per prediction.
In contrast, GLaM MoE models are sparsely activated in that only a small fraction of the total Mparams parameters will be activated for each prediction where Mparams >> Nact-params- Therefore, GLaM MoE models can scale by also growing the size or number of experts in the MoE layer."
2112.06905,2112.06905_19,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"6.2. Effect of Data Quality
We study the impact of data quality on the few-shot perfor- mance of downstream tasks. We use a modest-size GLaM model (1.7B/64E) to show the effectiveness of filtering text on model quality. We train models with the same hyper- parameters on two datasets. One is the original dataset described in Section 3 and the second consists of the dataset with the filtered webpages replaced with the unfiltered web- pages. The mixing proportions are fixed as given in Table 3.
As shown in Figure 3(a), the average zero, one and few-shot performance across the generative tasks scales well with the effective FLOPs per prediction which is in turn determined by Nact-params- We also find that GLaM MoE models perform consistently better than GLaM dense models for similar ef- ective FLOPs per token. For language understanding tasks shown in Figure 3(b), the performance gain of GLaM MoE models has a similar scaling trend to that of the generative tasks. We observe that both MoE and dense models perform similarly at smaller scales but MoE models outperform at
larger scales. We also show experiments with scaling the number of experts in Section B where we observe that, for a fixed budget of computation per prediction, adding more experts generally leads to better predictive performance."
2112.06905,2112.06905_20,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"6.4. Efficiency of GLaM
Existing large dense language models usually require tremendous amounts of computation resources for train- ing and serving (Patterson et al., 2021). They also need to consume massive amounts of pretraining data. We investi- gate the data and compute efficiency of the proposed GLaM models.
sparsely activated models takes much less computational resources than training dense models.
As previously presented in Table 1, the GLaM (64B/64E) training after 600B tokens consumes 456 MWh, about 1/3 of the energy cost of 1287 MWh used by GPT-3. Moreover, to reach similar (and slightly exceeded) scores as GPT-3, we train using 1,024 TPU-v4 chips for 574 hours (with 280B tokens). This consumes 213 MWh or 1/6 of the GPT-3 energy cost. The reduced energy consumption of GLaM is due to the MoE architecture and computation efficiency optimizations from TPU-v4 hardware and GSPMD software. Energy calculations can be found in Section F.
Data Efficiency. Figure 4 (a-c) and Figure 4(e-g) show the learning curves of our models compared to the dense baselines of similar effective FLOPs in both NLG and NLU tasks. The x-axis is the number of tokens used in train- ing where we explicitly include GPT-3’s results when it is around 300B tokens. We first observe that GLaM MoE models require significantly less data than dense models of comparable FLOPs to achieve similar zero, one, and few- shot performance. In other words, when the same amount of data is used for training, MoE models perform much bet- ter, and the difference in performance becomes larger when training up to 630B. Moreover, GLaM (64B/64E) model trained with 280B tokens outperforms GPT-3 trained with 300B tokens by large margins on 4 out of the 6 learning set- tings (zero-shot/one-shot NLU and one-shot/few-shot NLG), and matches GPT-3 scores for the remaining setting, i.e., zero-shot NLG tasks."
2112.06905,2112.06905_21,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"Computation Efficiency & Energy Consumption. Fig- ure 4 (d) and Figure 4 (h) show how the average zero, one and few-shot performance scales with the number of TPU years spent training MoE and dense models. We find that to achieve similar performance on downstream tasks, training"
2112.06905,2112.06905_22,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"7. Ethics and Unintended Biases
Large language models’ zero-and few-shot inference is an exciting capability: being able to control model behaviour intuitively with natural language and small datasets signifi- cantly lowers the barrier to prototyping and the development of new applications; it has the potential to help democratise using AI by dramatically decreasing the need for special- ist knowledge. However, such opportunities also serve to highlight the importance of the many ethical challenges (Leidner & Plachouras, 2017; Bender et al., 2021; Bom- masani et al., 2021) including representation bias (Blodgett et al., 2020), proper selection and handling of training data (Rogers, 2021) and its documentation (Bender & Friedman, 2018), privacy (Abadi et al., 2016b; Carlini et al., 2020), and environmental concerns (Strubell et al., 2019; Patterson et al., 2021). An important strand of this research focuses on unintended biases learnt by language models, includ- ing correlations between gender and profession (Bolukbasi et al., 2016; Rudinger et al., 2018; Zhao et al., 2018), neg- ative sentiment about racial and religious groups (Li et al., 2020; Nadeem et al., 2021), and about people with disabili- ties (Hutchinson et al., 2020), as well as other social biases
(Caliskan et al., 2017; Rudinger et al., 2017; Sap et al., 2020; Sotnikova et al., 2021). While measuring and mitigating the potential harm of language models is a very active area of research, as recognized by Blodgett et al. (2021); Jacobs & Wallach (2021) there is still a significant need for more rigorous evaluation methods to assess the degree to which language models encode harmful stereotypes (May et al., 2019; Webster et al., 2021)."
2112.06905,2112.06905_23,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"While there is not yet consensus on measurement methods or criteria for such general purpose large language models, the versatility and power of these models make it important to assess them on a range of metrics. We take inspiration from GPT-3 (Brown et al., 2020) and examine the co-occurrence in generated text referencing identity terms as well as report on the WinoGender benchmark (Rudinger et al., 2018). We also analyse toxicity degeneration similarly to Gopher (Rae et al., 2021), and extend the analysis to consider the human- behavioral baseline.
the appendix), 800 outputs are generated using top-k sam- pling (k = 40) with a temperature of 1. An off-the-shelf POS tagger (Bird & Loper, 2004) is used to remove stop words and select only descriptive words (i.e., adjectives and adverbs). Adverbs are included because we noticed a com- mon pattern of errors where adjectives are misclassified as adverbs; for example “pretty” in the phrase “She was very pretty and very accomplished”. Like Brown et al. (2020), to make the analysis transparent and easily reproducible, we omit any manual human labeling.
Like the analysis of other large language models that we build on, we note associative biases for all dimensions are obvious, for example “pretty” is the most associated descrip- tion for the term “She”, while it is not in the top-10 for the term “He”. Table 8 shows the most frequently occurring descriptive words in response to prompt-templates for gen- dered pronouns, and Tables 9 and 10 of the appendix show the same for race and religion prompts."
2112.06905,2112.06905_24,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"7.1. Co-occurrence prompts

7.2. WinoGender
Following the procedure described in Brown et al. (2020), we analyze commonly co-occurring words in the continua- tions when given prompts like “{term} was very...” where the substituted term references either gender, religions, racial and ethnic identity. For each prompt (Table 7 of
Coreference resolution is a capability that many applica- tions require to perform well, including machine translation (Stanovsky et al., 2019; Webster & Pitler, 2020) and ques- tion answering (Lamm et al., 2020). To assess whether gendered correlations in GLaM cause it to make corefer-
ence errors in the one-shot setting, we measure WinoGender (Rudinger et al., 2018). GLaM (64B/64E) achieves a new state-of-the-art of 71.7% on the full dataset (compared to 64.2% for GPT-3 (Brown et al., 2020)). Promisingly, ac- curacy is remarkably close between ‘he’ examples (70.8%) and ‘she’ examples (72.5%), as well as between stereotyp- ical examples (where the intended distribution is assumed to be close to the US occupation statistics, (Rudinger et al., 2018)) and anti-stereotypical (or ‘gotcha’) examples (both 71.7%)."
2112.06905,2112.06905_25,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"7.3. Toxicity Degeneration
Toxicity degeneration is when a language model produces text that is unintentionally toxic. To evaluate toxicity de- generation, we adapt the methodology used in (Welb] et al., 2021; Rae et al., 2021). We use the RealToxicityPrompts dataset (Gehman et al., 2020) which consists of sentences that have been split into two parts: a prompt prefix, and a continuation postfix. Like the previous studies, we also use the Perspective API which assigns a probability that the text would be considered to be rude, disrespectful or otherwise likely to make people want to leave a conversation. We then asses how likely a continuation is to be toxic given various likelihoods that the prompt was toxic.
For each of 10K randomly sampled prompts, we generate 25 continuations, with up to 100 tokens per continuations using top-k sampling (k = 40) with a temperature of 1. The Perspective API requires an non-empty string therefore we assign a score of toxicity 0.0 when the continuation is the empty string; this could represent, for example, a chat bot simply refusing to respond.
Figure 5 shows the relationship between the Toxicity Proba- bility of the Prompt (TPP), and the Toxicity Probability of the Continuation (TPC). Note that, for low TPP, the rela- tively high human TPC is due to the sampling strategy used
to create the underlying dataset: sentences were selected across the toxicity spectrum. Moreover, toxicity can often be identified locally within a sentence, and toxicity in this dataset tends to occur later the sentences. This causes the human-TPC to slightly drop as the TPP increases. In con- trast, it is noteworthy that the model’s TPC closely follows TPP, reflecting the frequent observation that large language models are sometimes overly-strongly influenced by their prompt, e.g. repeating phrases from the prompt."
2112.06905,2112.06905_26,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"We also analysed the distribution of toxicity probabilities from the API for batches of 25 continuations. This high- lighted that, even for low toxicity prompts, it is very likely that some generated continuation will be judged as toxic by most people reviewing it, according to the Perspective API’s predicted probability; further details can be found in Figure 8. We also note that this dataset’s sampling strategy, and the source it is taken from (Reddit) are likely not reflective of other domains. Moreover, even for very low TPP, applica- tions are likely to want a much lower TPC: even generating 1 in 100 toxic suggestions is likely to be very problematic for applications."
2112.06905,2112.06905_27,GLaM Efficient Scaling of Language Models with Mixture-of-Experts.pdf,"8. Discussion
As observed in previous work on sparsely-activated mod- els (Fedus et al., 2021), MoE models are more performant in knowledge-oriented tasks. Open-domain tasks are one way of measuring the amount of knowledge stored in a model. The performance of the MoE model in open-domain QA benchmarks such as TriviaQA demonstrate the significantly increased information capacity of these models compared to dense models of similar effective FLOPs. Despite the in-context learning and training efficiency advantages, the sparsely activated models consist of a higher number of pa- rameters and thus require a larger number of devices. This limits the resource accessibility and increases the serving cost especially when the serving traffic is low.

9. Conclusions
We propose and develop a family of generalist language models called GLaM, which use a sparsely activated mixture-of-experts architecture to achieve better average scores than not only their dense counterparts of similar effec- tive FLOPs, but also the GPT-3 models on 29 representative NLP tasks in zero, one and few-shot learning. In partic- ular, GLaM (64B/64E), our largest 1.2 trillion parameter MoE language model, achieves better average performance with only one third of energy consumption compared to training GPT-3. We hope that our work will encourage more research into methods for obtaining high-quality data, and using MoE for more efficient scaling of giant language models."
